DR_NO,Date Rptd,DATE OCC,TIME OCC
,04/05/2020 12:00:00 AM,04/05/2020 12:00:00 AM,1600.0
200618728.0,12/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,235.0
,,,1230.0
200322296.0,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,
201113970.0,,09/21/2020 12:00:00 AM,942.0
200219047.0,12/27/2020 12:00:00 AM,12/27/2020 12:00:00 AM,1630.0
200407117.0,03/20/2020 12:00:00 AM,,230.0
200117988.0,,,2000.0
201306108.0,02/06/2020 12:00:00 AM,02/06/2020 12:00:00 AM,1225.0
201215288.0,06/24/2020 12:00:00 AM,06/24/2020 12:00:00 AM,
200115686.0,,08/01/2020 12:00:00 AM,100.0
200615196.0,,09/07/2020 12:00:00 AM,
200205103.0,,,
201016381.0,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,2254.0
,08/18/2020 12:00:00 AM,08/18/2020 12:00:00 AM,2015.0
201307940.0,03/11/2020 12:00:00 AM,,900.0
,01/20/2020 12:00:00 AM,,
,,01/02/2020 12:00:00 AM,
201307077.0,02/24/2020 12:00:00 AM,,40.0
,,01/07/2020 12:00:00 AM,1530.0
200209181.0,04/20/2020 12:00:00 AM,04/20/2020 12:00:00 AM,
201007567.0,03/26/2020 12:00:00 AM,,1840.0
200505250.0,,01/30/2020 12:00:00 AM,
200605740.0,02/06/2020 12:00:00 AM,02/06/2020 12:00:00 AM,720.0
,12/17/2020 12:00:00 AM,12/17/2020 12:00:00 AM,
200109244.0,03/16/2020 12:00:00 AM,03/14/2020 12:00:00 AM,2000.0
201116336.0,12/05/2020 12:00:00 AM,,2000.0
201114782.0,10/17/2020 12:00:00 AM,10/16/2020 12:00:00 AM,1805.0
200310416.0,04/24/2020 12:00:00 AM,,900.0
200707342.0,03/11/2020 12:00:00 AM,03/10/2020 12:00:00 AM,1515.0
201014283.0,10/21/2020 12:00:00 AM,,
,,11/11/2020 12:00:00 AM,1400.0
200408618.0,,05/06/2020 12:00:00 AM,1800.0
,,04/02/2020 12:00:00 AM,1240.0
200208350.0,,03/29/2020 12:00:00 AM,
200414488.0,,10/29/2020 12:00:00 AM,2200.0
